suburb|price|unit_price|unit_percentage|income|remuneration|multiplier|agreement_term|agreement_remain|agreement_age|total_unit|wage_per_unit|owner_occupy|letting|income_per_letting|look_ups|outside_agents|manager_bed|manager_bathroom|manager_car|office|office_hour|agency|agent|complex_feature|url|title|description|unit_feature|pets|last_update|property_id|crawl_date
KANGAROO POINT|2174000|1075000|0.49|234000|0|4.7|10|10|0|106|0|75|24|9750|0|0|3|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KANGAROOPOINT-QLD-3878160|"Kangaroo Point Management Right
              "|This is one of the iconic buildings in Dock Side|" 
                       "|Yes| 3 months ago.|3878160|2018-08-22
Spring Hill|1928000|500000|0.26|280100|103788|5.1|25|18|0|54|1922|14|26|6781.23|0|28|0|0|0|0| | Joy Realty|Robert Lin|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3865723|"Corporate Management Rights â Business Only
              "|NO MANAGER UNIT TO PURCHASE|" 
                       "|No| 1 week ago.|3865723|2018-08-22
Greater Brisbane Region|455000|0|0|102500|30700|4.4|25|23|5|35|877.14|0|33|2175.76|0|2|0|0|0|0| None on Agreements| Mr Brady (Management Rights)|Don Brady|" Low Maintenance, No Pool, No Facilities, Easily Rented, No Managers Unit to Buy,
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Kallangur-QLD-3882268|"UNDER OFFER
              "|UNDER OFFER|" NO UNIT TO PURCHASE
                       "|Yes| 1 week ago.|3882268|2018-08-22
Spring Hill|945000|490000|0.52|108884|52890|4.4|25|20|18|31|1706.13|3|22|2545.18|0|4|2|2|2|1| 0| Raine & Horne Onsite Rights|Mark Fluhart|" This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3859839|"LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              "|This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.|" The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       "|No| 2 weeks ago.|3859839|2018-08-22
Spring Hill|2234800|550000|0.25|312149|69637|5|25|24|0||0|0|25|0|0|0|2|2|1|1| M-F: 8:30am-5pm Sat: 8:30-12pm| Next International Realty Pty Ltd|David Janett - David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3865021|"Location Location Location!
              "|Four Star Luxury Serviced Apartments and Holiday Accommodation in the heart of Brisbane|" 
                       "|No| 6 months ago.|3865021|2018-08-22
Kangaroo Point|1750000|820000|0.47|192609|123354|4.8|0|0|0||0|0||0|0|0|2|2|3|1| | Management Rights Sales|Greg Jorgensen|" Indoor Heated Pool, Sauna, Security Parking
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KangarooPoint-QLD-3874841|"SUPERVISORY ROLE ONLY! EASY TO RUN BUSINESS & BY ONE PERSON
              "|SUPERVISORY ROLE ONLY!|" 
                       "|Yes| 2 days ago.|3874841|2018-08-22
Kangaroo Point|1595000|0|0|301000|103245|5.3|25|23|2|101|1022.23|6|81|2441.42|0|10|0|0|0|0| None||Adrian|" NEAR NEW COMPLEXES FOR SALE. ALL DEFECT - FREE, ALL FULLY TENANTED AND ALL POSITIONED WITHIN EASILY ACCESSIBLE INNER CITY LOCATIONS!
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KangarooPoint-QLD-3863993|"Blue Chip Complexes!
              "||" 
                       "|No| 1 week ago.|3863993|2018-08-22
Spring Hill|760000|485000|0.64|70000|42539|3.9|25|18|18|19|2238.89|1|10|2746.1|0|6|2|2|1|1| | Raine & Horne Onsite Rights|Nick Chen|" This is an easy business located in the heart of Spring Hill.  Featuring a great size office and car park on title, the property also has underground parking and a lift built in the building.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3873367|"PERFECT HOME WITH EASY BUSINESS
              "|Price Reduction - Dropped to $760,000 - Great Deal - Get in NOW !!|" Open plan in design and delightfully spacious, the living and main bedroom areas are framed by sliders that lead out to the generous balcony. May be the largest balcony you will ever see.
                       "|No| 2 months ago.|3873367|2018-08-22
Brisbane City|1235000|499000|0.4|138799|66824|5.3|25|20|0||0|0||0|0|0|2|1|1|1| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrisbaneCity-QLD-3867021|"Quality Building and Easy Permanent Management Rights in Brisbane
              "|- Perfectly Located in Brisbane City|" 
                       "|No| 2 months ago.|3867021|2018-08-22
KANGAROO POINT|1386000|864000|0.62|116000|89872|4.5|25|18|0|43|2090.05|31|11|2375.27|0|0|3|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KANGAROOPOINT-QLD-3876921|"Kangaroo Point Management Rights Complex
              "|"This truly is a ""lifestyle"". A beautiful complex situated alongside a park and close to the river. The ferry is only a few meters stroll. Modern spacious man. Unit is air conditioned and has ample room for outdoor entertaining. It has three  storage rooms specifically for the manager For more information,please contact Agent Robert Collins Exclusive Agent on  or "|" 
                       "|Yes| 4 months ago.|3876921|2018-08-22
